Source,TestCaseID,File,Layer,Component,PriorityScore,Est,Owner,Jira/PR/SlackRef
Slack,E2E-UI-001,SLK-gen-dd90ed7b88cf.md,UI,core,4,S,,gen-dd90ed7b88cf
Slack,E2E-UI-002,SLK-gen-dd90ed7b88cf.md,UI,core,4,S,,gen-dd90ed7b88cf
Slack,E2E-UI-003,SLK-gen-dd90ed7b88cf.md,UI,core,4,S,,gen-dd90ed7b88cf
Slack,A11Y-UI-004,SLK-gen-dd90ed7b88cf.md,UI,core,4,S,,gen-dd90ed7b88cf
Slack,SLK-gen-ecceaac3b022,SLK-gen-ecceaac3b022.md,UI,core,4,S,,gen-ecceaac3b022
Slack,E2E-UI-001,SLK-gen-ecceaac3b022.md,UI,core,4,S,,gen-ecceaac3b022
Slack,E2E-UI-002,SLK-gen-ecceaac3b022.md,UI,core,4,S,,gen-ecceaac3b022
Slack,E2E-UI-003,SLK-gen-ecceaac3b022.md,UI,core,4,S,,gen-ecceaac3b022
Slack,A11Y-UI-004,SLK-gen-ecceaac3b022.md,UI,core,4,S,,gen-ecceaac3b022
Jira,J-UI-001,IO-136500-testcases_v5.md,UI,core,3,S,,IO-136500
Jira,J-UI-001,IO-141368-testcases_v5.md,UI,core,3,S,,IO-141368
Slack,SEC-BE-004,SLK-gen-040900350093.md,UI,core,3,S,,gen-040900350093
Slack,SEC-BE-004,SLK-gen-0c457e0a44ad.md,UI,core,3,S,,gen-0c457e0a44ad
Slack,SEC-BE-004,SLK-gen-155bc4f14fd4.md,UI,core,3,S,,gen-155bc4f14fd4
Slack,SEC-BE-004,SLK-gen-15af3eb1abf2.md,UI,core,3,S,,gen-15af3eb1abf2
Slack,SEC-BE-004,SLK-gen-17eb6e3cec6f.md,UI,core,3,S,,gen-17eb6e3cec6f
Slack,SEC-BE-004,SLK-gen-24dba6c37962.md,UI,core,3,S,,gen-24dba6c37962
Slack,SEC-BE-004,SLK-gen-349b233e3996.md,UI,core,3,S,,gen-349b233e3996
Slack,SEC-BE-004,SLK-gen-582918b0dadf.md,UI,core,3,S,,gen-582918b0dadf
Slack,SEC-BE-004,SLK-gen-7287d6642308.md,UI,core,3,S,,gen-7287d6642308
Slack,SEC-BE-004,SLK-gen-8bb714b7726e.md,UI,core,3,S,,gen-8bb714b7726e
Slack,SEC-BE-004,SLK-gen-8beba3bfd16f.md,UI,core,3,S,,gen-8beba3bfd16f
Slack,SEC-BE-004,SLK-gen-8fdff21e2ba1.md,UI,core,3,S,,gen-8fdff21e2ba1
Slack,SEC-BE-004,SLK-gen-a8dca434506a.md,UI,core,3,S,,gen-a8dca434506a
Slack,SEC-BE-004,SLK-gen-b113d8f5f7bb.md,UI,core,3,S,,gen-b113d8f5f7bb
Slack,SEC-BE-004,SLK-gen-b1a00932c9a8.md,UI,core,3,S,,gen-b1a00932c9a8
Slack,SEC-BE-004,SLK-gen-b7c58d8a8e00.md,UI,core,3,S,,gen-b7c58d8a8e00
Slack,SEC-BE-004,SLK-gen-b88b23accc7d.md,UI,core,3,S,,gen-b88b23accc7d
Slack,SEC-BE-004,SLK-gen-d42a61cead0f.md,UI,core,3,S,,gen-d42a61cead0f
Slack,SEC-BE-004,SLK-gen-dd90ed7b88cf.md,UI,core,3,S,,gen-dd90ed7b88cf
Slack,SEC-BE-004,SLK-gen-ecceaac3b022.md,UI,core,3,S,,gen-ecceaac3b022
Slack,PAR-BE-002,SLK-gen-040900350093.md,API,core,2,S,,gen-040900350093
Slack,ERR-BE-006,SLK-gen-040900350093.md,UI,core,2,S,,gen-040900350093
Slack,PAR-BE-002,SLK-gen-0c457e0a44ad.md,API,core,2,S,,gen-0c457e0a44ad
Slack,ERR-BE-006,SLK-gen-0c457e0a44ad.md,UI,core,2,S,,gen-0c457e0a44ad
Slack,PAR-BE-002,SLK-gen-155bc4f14fd4.md,API,core,2,S,,gen-155bc4f14fd4
Slack,ERR-BE-006,SLK-gen-155bc4f14fd4.md,UI,core,2,S,,gen-155bc4f14fd4
Slack,PAR-BE-002,SLK-gen-15af3eb1abf2.md,API,core,2,S,,gen-15af3eb1abf2
Slack,ERR-BE-006,SLK-gen-15af3eb1abf2.md,UI,core,2,S,,gen-15af3eb1abf2
Slack,PAR-BE-002,SLK-gen-17eb6e3cec6f.md,API,core,2,S,,gen-17eb6e3cec6f
Slack,ERR-BE-006,SLK-gen-17eb6e3cec6f.md,UI,core,2,S,,gen-17eb6e3cec6f
Slack,PAR-BE-002,SLK-gen-24dba6c37962.md,API,core,2,S,,gen-24dba6c37962
Slack,ERR-BE-006,SLK-gen-24dba6c37962.md,UI,core,2,S,,gen-24dba6c37962
Slack,PAR-BE-002,SLK-gen-349b233e3996.md,API,core,2,S,,gen-349b233e3996
Slack,ERR-BE-006,SLK-gen-349b233e3996.md,UI,core,2,S,,gen-349b233e3996
Slack,PAR-BE-002,SLK-gen-582918b0dadf.md,API,core,2,S,,gen-582918b0dadf
Slack,ERR-BE-006,SLK-gen-582918b0dadf.md,UI,core,2,S,,gen-582918b0dadf
Slack,PAR-BE-002,SLK-gen-7287d6642308.md,API,core,2,S,,gen-7287d6642308
Slack,ERR-BE-006,SLK-gen-7287d6642308.md,UI,core,2,S,,gen-7287d6642308
Slack,PAR-BE-002,SLK-gen-8bb714b7726e.md,API,core,2,S,,gen-8bb714b7726e
